fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2021-2022,Sep,18,MAHARASHTRA,1808,JALGAON,1632869,245.050595,23,143,740.9605158,6384,12,38492,1257611,110141,34190,107648,39847,52.97534,3875.719094,52699,85214,135118,345162,1290,549390,1113170,44876,3081.783238,457688,92,74.63,40.5,100.78,NA
2021-2022,Sep,18,MAHARASHTRA,1809,AHMEDNAGAR,1780511,262.1517744,21,106,816.8681206,4742,12,38679,1076190,89359,41474,49193,24940,78.66603,3716.785332,50184,84330,153925,442751,1251,729918,1830292,43421,2821.251181,473211,79,65.89,53.53,100.99,NA
2021-2022,Sep,18,MAHARASHTRA,1822,BULDHANA,1481636,245.6668893,20,114,250.8883516,2113,25,19103,748664,74154,32265,18738,7886,42.19089,2132.298802,35700,51701,109199,268347,281,447537,946384,21216,1839.21956,234844,89,69.18,59.58,99.89,NA
2023-2024,Jan,18,MAHARASHTRA,1802,THANE,304014,268.1422526,27,41,407.3613426,3668,2,10096,314407,13530,3289,116307,36282,44.4956,1294.914955,11620,20655,29409,94261,303,133783,319549,13764,843.058012,131551,94,65.25,3.23,105.21,NA
2023-2024,Jan,18,MAHARASHTRA,1818,BEED,6778585,243.9578887,45,281,5832.991438,2283,63,59526,6971257,117146,14624,10894,1736,482.55794,23322.48077,151887,259044,229735,567531,17047,644521,1343785,61809,17006.93139,2845128,79,57.26,5.65,135.34,NA
2023-2024,Jan,18,MAHARASHTRA,1820,Dharashiv,1523434,257.7467936,45,142,1701.215692,2446,39,22988,1614627,118065,25271,7019,1078,193.72769,6056.592704,35534,55644,71149,188511,3911,317568,695680,25434,4161.649321,607045,82,61.28,0.39,100.57,NA
2023-2024,Jan,18,MAHARASHTRA,1822,BULDHANA,1135254,280.9154273,21,125,1112.064617,7486,12,22115,1155869,142247,32255,32160,7753,144.15044,4503.229397,54512,79385,110328,267372,218,475083,991275,29601,3247.01434,396246,93,50.25,0.59,99.83,NA
2023-2024,Jan,18,MAHARASHTRA,1825,YAVATMAL,3592944,267.0274647,34,454,2977.359991,20805,19,31645,3724149,269338,39690,510100,71759,374.1029,13295.96355,106526,158462,195822,453863,4930,663978,1378190,52450,9944.500656,1514299,91,50.93,10.52,99.91,NA
2023-2024,Jan,18,MAHARASHTRA,1835,PALGHAR,3794715,227.5221552,47,831,3810.821091,15708,13,34371,4045575,14199,1881,3772028,351591,592.35112,13607.75164,85083,167754,131568,393537,10288,299358,712445,50079,9204.579429,2263597,84,21.48,15.77,104.69,NA
2023-2024,Feb,18,MAHARASHTRA,1804,RATNAGIRI,519750,274.4507727,26,166,537.7268103,10148,14,26514,595015,35331,8997,5429,1288,99.67574,2270.425815,22795,35033,61390,139352,553,252734,471103,36662,1633.023265,251369,95,79.53,0.19,101.45,NA
2023-2024,Feb,18,MAHARASHTRA,1808,JALGAON,2040107,264.7524444,40,141,2120.429013,19981,21,31666,2325591,151022,32421,188723,38454,228.88284,8506.370872,57692,89923,136712,336749,5179,659403,1245793,51647,6157.059018,916830,92,54.63,0.83,103.68,NA
2023-2024,Feb,18,MAHARASHTRA,1814,KOLHAPUR,398339,263.5216559,25,55,543.6343274,4456,45,9648,457639,64881,19525,1033,297,80.12106,1829.733258,17649,30819,46601,113492,465,350879,617337,14104,1205.977871,191377,92,44.19,0,103.92,NA
2023-2024,Feb,18,MAHARASHTRA,1819,NANDED,3553660,248.1227737,45,172,3710.22461,6864,32,42764,4398836,555779,77611,300483,36207,371.34618,14996.08468,97497,157070,164352,441424,10289,647721,1470328,49628,10914.51389,1898252,87,50.59,1.31,109.73,NA
2023-2024,Feb,18,MAHARASHTRA,1820,Dharashiv,1561519,251.6510257,49,162,1701.215692,2746,36,23044,1972344,139695,25278,8429,1078,204.00829,6868.647889,39828,62418,71501,188996,5578,319804,698148,25790,4963.423906,736759,82,60.49,0.35,100.85,NA
2023-2024,Feb,18,MAHARASHTRA,1823,AKOLA,925444,256.6826038,28,1843,331.5151999,6189,3,18155,1078433,178400,34225,50851,9343,148.60206,3248.267164,38346,55466,81906,187711,1456,284444,550662,24344,2768.149904,379765,89,36.24,0.67,107.8,NA
2023-2024,Feb,18,MAHARASHTRA,1833,GONDIA,4704821,184.6795513,37,341,9168.495675,21896,13,27520,5991039,546778,53525,1115983,91405,342.45079,20575.17041,159349,260451,238962,616015,8774,349188,830887,49416,11064.22394,3798149,82,25.47,8.55,103.09,NA
2023-2024,Feb,18,MAHARASHTRA,1834,HINGOLI,2266862,258.1798935,48,112,2133.038416,3850,5,22567,2799989,415855,46384,430793,44502,248.02033,9610.067365,57869,95113,94193,243575,6730,256947,588877,26417,7229.008619,1110398,90,72.01,0.47,102.47,NA
2022-2023,Nov,18,MAHARASHTRA,1810,PUNE,450902,266.8838672,23,93,433.1750977,3351,160,24681,445717,40180,11319,52787,19094,39.6807,1662.402564,19219,33391,53253,141288,410,352639,767277,28032,1189.546766,199194,93,76.28,41.04,105.02,NA
2022-2023,Nov,18,MAHARASHTRA,1814,KOLHAPUR,296412,248.1290814,21,45,185.2188897,2418,69,10917,318697,55710,21101,1016,273,46.21309,1022.211918,14781,26211,42732,104348,164,337160,597325,13335,790.7799386,143605,92,75.1,27.3,100.7,NA
2022-2023,Nov,18,MAHARASHTRA,1818,BEED,1410976,259.1983829,44,178,1830.71845,1652,99,42501,4050647,62042,11546,10364,1395,370.91168,12700.84165,90857,170019,135157,362806,8653,561912,1254770,44153,10499.21152,1666911,77,70.29,75.5,199.49,NA
2022-2023,Nov,18,MAHARASHTRA,1823,AKOLA,851580,250.5351576,25,1243,1214.384342,7926,7,19116,727352,103005,34948,33193,8739,71.06657,3107.723392,28970,43530,82087,188936,930,265549,526876,27042,1822.27248,263071,91,38.7,27.66,108.51,NA
2022-2023,Nov,18,MAHARASHTRA,1829,CHANDRAPUR,2859039,211.2328867,34,604,2084.850901,13026,7,28124,3698507,497112,67223,770142,105133,204.81593,10102.12993,107233,199359,170970,493760,4191,360414,902954,41150,7812.463099,1891357,82,59.98,52.62,102.86,NA
2022-2023,Nov,18,MAHARASHTRA,1835,PALGHAR,3972062,266.1499281,47,710,1334.094534,9999,38,34775,3497963,9381,1731,3274242,333953,168.2671,10812.18764,74197,154225,121220,372127,8670,284989,717172,44774,9309.826008,1913227,78,35.87,34.3,109.41,NA
2022-2023,June,18,MAHARASHTRA,1804,RATNAGIRI,225670,253.2305703,16,60,180.3905223,3841,88,28399,206449,11399,10414,1445,1252,9.98055,713.1630523,12421,21023,61337,142059,49,236962,457344,32240,522.79198,93553,93,86.97,60.73,101.84,NA
2022-2023,June,18,MAHARASHTRA,1807,DHULE,220222,213.0779753,16,41,266.41065,2282,42,25922,302430,15278,16909,83719,86595,1.29394,912.1163108,17969,30472,95741,268987,75,404623,889219,28204,644.4117208,119464,89,82.31,28.62,104.29,NA
2022-2023,June,18,MAHARASHTRA,1819,NANDED,745753,238.3582319,28,80,483.3122108,1081,285,43092,1149611,123931,75487,78909,32679,1.6211,3225.125764,40805,68176,137943,382344,881,608618,1420537,44173,2740.192453,502900,89,64.97,68.76,101.9,NA
2022-2023,June,18,MAHARASHTRA,1824,AMRAVATI,2841425,205.5849739,40,599,3302.901827,3011,15,57863,3007862,327115,54459,1166654,136918,219.77067,9706.384803,75002,144158,182979,515386,5677,440728,1032676,60874,6183.712307,1212693,82,72.71,72.5,149.04,NA
2022-2023,June,18,MAHARASHTRA,1828,BHANDARA,1132833,156.4619639,27,5361,513.8892648,5954,13,32283,3298601,377825,64005,219695,33940,13.3506,5688.295769,120201,204626,190519,459708,2147,276476,633265,38237,5161.055905,2033801,90,64.79,57.76,101.04,NA
2022-2023,June,18,MAHARASHTRA,1835,PALGHAR,1850378,222.4091799,45,681,956.0726539,4230,54,34263,3111251,7224,1727,2931473,333182,19.87989,7895.660378,68929,143081,120613,371071,7233,282590,714860,38493,6919.707834,1748501,75,32.72,30.8,109.6,NA
2022-2023,July,18,MAHARASHTRA,1804,RATNAGIRI,348795,259.0434164,17,70,207.6893919,5809,72,27580,238781,13710,10450,1790,1262,38.96876,865.2046119,13975,23507,61879,142986,55,238111,459235,33389,618.54646,108187,93,88.08,61.18,101.78,NA
2022-2023,July,18,MAHARASHTRA,1808,JALGAON,1255580,240.3029641,24,96,945.2652293,3829,103,41437,871636,62180,33822,82807,37990,64.92235,3104.754723,35190,54494,132452,330258,877,620101,1207648,45266,2094.567144,345826,93,68.4,47.92,104.08,NA
2022-2023,July,18,MAHARASHTRA,1822,BULDHANA,757738,242.833545,17,83,330.5051982,1819,73,20985,417320,51070,32280,10494,7622,21.42508,1365.323228,23914,34160,107428,260871,35,460676,970199,22804,1013.39295,146128,91,70.03,44.8,99.98,NA
2022-2023,July,18,MAHARASHTRA,1825,YAVATMAL,1905614,248.4166354,28,343,962.9176108,4283,69,39682,1775524,112415,38350,225705,63259,146.55217,5520.166763,61994,95921,167490,397328,1050,632752,1346856,43965,4410.696982,746898,88,83.07,72.54,99.57,NA
2022-2023,July,18,MAHARASHTRA,1832,WASHIM,294674,249.212127,23,86,141.229025,502,45,15540,458022,32061,17411,12059,5145,1.86825,1284.543644,19137,30225,57151,138377,185,256230,520562,16042,1141.446369,180095,83,69.29,76.92,100.08,NA
2020-2021,Dec,18,MAHARASHTRA,1805,SINDHUDURG,426261,226.4592266,23,224,97.09451673,4810,7,18416,375397,10356,3924,1057,290,125.56531,1072.78097,15715,27887,35269,81335,322,99070,193663,23226,850.1211429,147389,36,50.26,79.5,102.51,NA
2020-2021,Dec,18,MAHARASHTRA,1809,AHMEDNAGAR,1871424,227.4122085,30,114,525.5774074,8466,14,31534,1562878,112385,41997,79474,24815,265.3731,4345.125883,51325,89510,146936,429248,2624,650471,1695777,40000,3554.175376,729029,72,42.28,74.23,102.24,NA
2020-2021,Dec,18,MAHARASHTRA,1810,PUNE,401888,213.6716818,34,100,120.8002983,1855,346,14584,516896,31790,10851,59448,15882,164.88896,1390.149635,15187,28313,43779,116000,945,262201,608786,16439,1104.460376,224025,86,66.29,66.47,106.03,NA
2020-2021,Dec,18,MAHARASHTRA,1814,KOLHAPUR,291448,225.6788962,19,38,121.3286617,2894,49,8386,231509,30941,27671,232,412,102.09134,745.8869576,11734,21083,43428,107047,163,250485,476044,11280,522.4669559,94282,89,77.05,23.33,102.59,NA
2020-2021,Dec,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,1181561,223.4265427,35,138,796.8642266,2978,45,22724,842955,33150,19192,24854,7811,175.41441,2855.663849,23574,39989,94796,262354,1371,497562,1097001,25702,1883.385213,344001,92,75.78,80.71,100,NA
2020-2021,Dec,18,MAHARASHTRA,1816,JALNA,1096943,210.8162916,33,159,727.8204668,4885,33,22112,1382436,49706,13944,8544,2358,147.35426,3789.575035,41266,87921,96315,298345,2391,328851,851016,26997,2914.400308,593079,48,53.74,90.21,99.07,NA
2020-2021,Dec,18,MAHARASHTRA,1817,PARBHANI,664284,217.4556563,40,51,445.9476181,3548,114,13104,881221,45604,19743,7458,1551,207.46345,2569.675977,21825,39575,62313,169163,1830,247369,577683,16652,1916.264909,333518,86,46.35,96.01,107.84,NA
2020-2021,Dec,18,MAHARASHTRA,1824,AMRAVATI,5503146,199.3984003,76,755,934.237069,15706,12,37650,6526396,739855,54451,2688168,135819,609.22919,14556.99548,85100,174665,165239,494384,22481,361186,906840,53356,13013.52922,2293373,81,63.37,86.58,108.58,NA
2020-2021,Dec,18,MAHARASHTRA,1825,YAVATMAL,2204648,229.8427581,37,271,1152.514404,11810,40,32249,1732427,146999,39698,278817,66762,372.89571,5507.268114,46347,73400,155629,397517,3251,465636,1074723,44059,3981.857999,694305,80,57.42,74.67,99.98,NA
2020-2021,Dec,18,MAHARASHTRA,1832,WASHIM,705710,228.7646163,36,105,301.1933174,3307,31,9360,485783,57707,22778,22097,7247,123.32365,1535.816584,13341,21059,69530,171425,1130,196843,427582,12667,1111.299616,181820,71,40.54,88.46,100.14,NA
2023-2024,June,18,MAHARASHTRA,1802,THANE,128162,236.7613521,19,18,4.37794,619,43,10764,128162,6122,3273,45949,36151,0.25919,308.0752141,6656,11590,29031,93427,45,129347,314255,11383,303.4380841,54527,94,57.29,6.37,111.54,NA
2023-2024,June,18,MAHARASHTRA,1805,SINDHUDURG,126424,257.1708378,16,62,19.36092669,604,28,20296,126424,4316,4123,408,338,0.5769,345.0634867,7437,12209,40539,93130,45,125014,237506,20900,325.12566,51069,68,70.22,6.2,99.93,NA
2023-2024,June,18,MAHARASHTRA,1813,SOLAPUR,155824,237.8118524,16,17,197.9931134,748,313,21401,159310,12733,15136,1398,2519,7.57613,584.4273054,9520,15267,72731,170483,41,527925,916641,22149,378.858062,59172,95,68.66,0,101.14,NA
2023-2024,June,18,MAHARASHTRA,1814,KOLHAPUR,113478,254.6965481,17,17,63.43593667,317,398,11478,113478,20051,19362,185,294,0.84256,353.3030455,6479,11399,44551,109986,19,341747,602585,11795,289.0245488,49299,92,37.94,0,100.35,NA
2023-2024,June,18,MAHARASHTRA,1817,PARBHANI,1023193,224.0955327,22,106,28.4896067,94,136,32715,1023193,42209,20576,5618,2766,96.59313,2418.012541,44674,70978,124688,291292,480,376945,753566,32809,2292.929804,393219,90,65.12,0.09,102.86,NA
2023-2024,June,18,MAHARASHTRA,1819,NANDED,1392336,211.3298415,26,86,219.5946869,470,257,42064,1392336,154532,77246,98011,36048,2.98046,3164.996609,51986,82318,160261,434864,822,627563,1442654,42534,2942.421462,609506,87,58.93,1.09,101.04,NA
2023-2024,June,18,MAHARASHTRA,1824,AMRAVATI,2892025,234.9239585,43,653,3251.439817,3740,31,48283,2892025,274631,53963,1188198,138645,66.15313,10111.65256,66516,122869,185772,520543,6137,454496,1032399,52023,6794.059609,1248816,78,26.36,28.46,104.19,NA
2023-2024,June,18,MAHARASHTRA,1826,WARDHA,356269,229.1997919,28,83,146.7309095,725,62,11522,356269,39291,16351,29070,13278,3.06556,966.3642761,12666,20509,49202,121341,244,202514,382308,12247,816.5678066,137646,88,68.26,0.22,104.71,NA
2023-2024,June,18,MAHARASHTRA,1831,NANDURBAR,438693,210.2090634,18,33,104.016481,743,175,53588,438693,13868,12381,361140,342467,8.38344,1034.572368,23554,34699,168004,405488,163,506006,1043942,54331,922.1724467,185106,80,35.81,11.87,100.46,NA
2023-2024,June,18,MAHARASHTRA,1835,PALGHAR,1956395,245.8331742,31,632,698.2171144,1816,38,39566,1956395,6730,1860,1830056,348001,37.36396,5545.049002,62124,120210,128847,389387,2274,288809,708956,41382,4809.467928,1134372,84,12.84,15.48,99.96,NA
2021-2022,Dec,18,MAHARASHTRA,1808,JALGAON,1687910,238.9071371,28,162,960.5895835,8305,12,38069,1764882,149174,34257,148304,39973,152.75393,5329.772572,62455,102089,136479,347282,2456,603770,1181127,46374,4216.429059,649693,92,73.88,42.54,101.82,NA
2021-2022,Dec,18,MAHARASHTRA,1817,PARBHANI,967140,233.8054467,38,89,1136.449003,1775,61,18897,1466987,66748,21377,10588,2065,123.08754,4689.432052,37801,67753,79176,201665,2654,344949,712502,20672,3429.895509,553423,87,79.55,94.68,105.65,NA
2021-2022,Dec,18,MAHARASHTRA,1818,BEED,2131072,224.7919007,34,70,755.03031,7285,303,25895,1197564,32099,11268,4386,1375,97.52741,3544.584598,35040,67948,110721,299163,2231,523849,1179998,33180,2692.026878,499839,67,71.56,92.31,129.59,NA
2021-2022,Dec,18,MAHARASHTRA,1820,Dharashiv,1077881,233.5521703,36,114,783.5843027,1640,38,19887,958534,115309,27583,2553,1088,97.33479,3119.596053,26491,46456,64449,176862,1962,297045,664751,21527,2238.67696,396251,76,60.44,66.79,100.71,NA
2021-2022,Dec,18,MAHARASHTRA,1822,BULDHANA,1531579,245.6621071,24,125,438.1879393,3722,4,18127,1016905,97434,32277,25623,7889,123.1198,3059.457989,41129,59987,109364,268574,421,453337,953708,21849,2498.15025,318287,90,67.49,63.92,99.85,NA
2021-2022,Dec,18,MAHARASHTRA,1825,YAVATMAL,2530077,241.5124861,34,336,4906.927516,8766,22,34570,2229970,156367,37979,268909,62592,242.25143,10534.83493,64359,105260,157960,384645,4230,624321,1315553,43336,5385.655985,898104,84,66.16,74.91,100.16,NA
2021-2022,Dec,18,MAHARASHTRA,1829,CHANDRAPUR,3509596,194.6918688,26,567,675.9552572,5804,8,26154,2520275,364732,68088,561429,104900,146.35142,5729.077173,95118,173277,167973,494846,1978,351916,890073,31958,4906.770496,1152879,81,60.45,61.08,100.71,NA
2021-2022,Dec,18,MAHARASHTRA,1833,GONDIA,6442709,214.4080232,23,305,2819.999863,8534,15,64190,3524725,271407,53837,498974,89873,270.20251,10647.49557,149298,262671,231951,604990,2152,328802,823338,72724,7557.293195,1769394,92,62.08,30.98,100.5,NA
2021-2022,Dec,18,MAHARASHTRA,1834,HINGOLI,1119830,237.027477,39,47,705.7891912,3156,30,11408,1294498,209164,44356,191129,42704,58.79362,3832.898761,32477,57442,78866,212083,2514,238126,549042,14564,3068.315949,527554,85,70.08,87.45,101.28,NA
2022-2023,May,18,MAHARASHTRA,1805,SINDHUDURG,128250,174.5639936,12,49,102.5889985,1667,71,27623,67698,1815,4474,177,342,17.00644,237.7717709,5238,8836,40883,93789,4,122233,233675,29290,118.1763324,26811,70,60.46,54.42,105.51,NA
2022-2023,May,18,MAHARASHTRA,1806,NASHIK,555010,208.8740503,19,285,504.0998474,1571,24,47736,712560,10036,12548,272583,217645,0.022,1992.47478,37360,63458,173940,504414,231,633631,1414480,49307,1488.352933,271561,79,54.07,25.69,100.41,NA
2022-2023,May,18,MAHARASHTRA,1807,DHULE,188761,221.8013732,15,18,241.12203,762,108,24639,133557,6502,16900,35310,86545,0,537.35329,8895,15088,95634,268826,31,404119,889315,25401,296.23126,52163,88,73.4,46.76,110.15,NA
2022-2023,May,18,MAHARASHTRA,1808,JALGAON,592968,218.8036112,19,62,872.8826637,1822,228,40235,380038,24581,33728,33278,37910,59.58102,1764.000552,19974,30449,131574,328801,94,617497,1204500,42057,831.5368681,150339,93,65.19,52.96,101.56,NA
2022-2023,May,18,MAHARASHTRA,1809,AHMEDNAGAR,483635,240.9271907,16,31,1216.048351,3134,231,41886,239049,16692,39273,16779,26001,34.07515,1826.057541,14732,24325,154808,444230,34,740590,1860921,45020,575.93404,103350,82,73.69,43.65,102.63,NA
2022-2023,May,18,MAHARASHTRA,1810,PUNE,185026,242.3664822,15,19,241.2506074,674,544,22294,107167,8139,11089,18354,18999,11.62273,512.6102254,6786,10745,51526,137496,38,345847,754735,22968,259.736888,50548,91,73.46,30.72,105.9,NA
2022-2023,May,18,MAHARASHTRA,1811,SATARA,227667,192.8822191,17,47,285.5338145,876,596,17053,119544,8921,13486,677,909,22.30844,538.4213745,6768,10194,62674,141204,34,379379,719564,17929,230.57912,54837,88,50.1,46.53,100.53,NA
2022-2023,May,18,MAHARASHTRA,1814,KOLHAPUR,103283,205.0322184,14,20,29.7490082,437,405,11090,91834,13847,21048,280,273,0,218.0382956,6395,10787,41948,102962,3,334701,593071,11527,188.2892874,41953,92,66.35,29.41,99.96,NA
2022-2023,May,18,MAHARASHTRA,1818,BEED,606203,138.797218,33,111,311.166069,119,339,39039,2005883,23217,11462,6020,1393,55.28211,3150.557979,59557,110940,133282,359794,2176,548326,1263169,39158,2784.1098,821436,77,74.87,81.08,203.07,NA
2022-2023,May,18,MAHARASHTRA,1819,NANDED,639216,216.0781078,24,67,359.5083266,441,366,42451,798364,78427,75464,54645,32669,0,2084.598151,32391,54011,137791,382098,338,608154,1419802,42892,1725.089825,348747,88,65.31,70.85,101.02,NA
2022-2023,May,18,MAHARASHTRA,1821,LATUR,526032,212.6629642,24,54,1010.073155,1939,130,15931,540723,53362,54649,6602,3313,17.24296,2177.233675,21736,37172,88891,236332,297,342447,767643,17870,1149.91756,233643,86,65.79,70.33,100.48,NA
2022-2023,May,18,MAHARASHTRA,1824,AMRAVATI,2435507,143.3190046,36,499,543.1679399,839,37,58876,2212694,228692,54412,982346,136890,183.70253,3898.081487,59999,117646,182787,515027,3244,440089,1031827,59715,3171.211017,917956,82,72.48,76.19,164.96,NA
2022-2023,May,18,MAHARASHTRA,1834,HINGOLI,517525,216.5450919,26,59,201.08253,196,82,15999,783957,102148,45541,123056,43281,0.89553,1899.598466,29061,50702,85310,225239,395,241555,569691,16195,1697.620406,317987,87,69.64,66.97,108.25,NA
2020-2021,Sep,18,MAHARASHTRA,1805,SINDHUDURG,327893,221.8367979,18,187,61.14542593,3375,9,19301,244309,7544,3920,667,290,84.55417,687.6668586,12936,22567,34893,80503,129,94658,186959,22676,541.9672627,95530,35,53.12,79.32,101.1,NA
2020-2021,Sep,18,MAHARASHTRA,1808,JALGAON,875329,218.0960456,28,169,397.9654939,4567,126,27194,950447,69114,32655,93726,40646,121.00267,2591.855486,33670,53936,131461,338403,1172,437712,950997,31761,2072.887322,330905,87,63.77,44.2,100.38,NA
2020-2021,Sep,18,MAHARASHTRA,1810,PUNE,309145,218.6316086,30,69,114.8569883,1140,483,13338,307249,19353,10816,30153,15710,97.16614,883.7665594,10083,18155,43044,114433,498,254825,592173,14478,671.7434311,135913,85,62.95,63.55,105.29,NA
2020-2021,Sep,18,MAHARASHTRA,1815,Chatrapati Sambhaji Nagar,908893,223.912633,31,104,545.3866245,2345,85,19337,588717,25457,19196,17898,7795,132.83164,1996.43,18616,31109,94486,261844,710,494688,1091605,21682,1318.211735,238812,90,71.33,80.22,99.94,NA
2020-2021,Sep,18,MAHARASHTRA,1816,JALNA,843802,219.4261403,28,98,418.4929137,3473,46,21343,831001,34773,13937,4972,2363,100.55692,2342.483254,29445,59815,96095,297634,1185,327234,847596,24816,1823.43342,357801,46,56.45,88.25,99.05,NA
2020-2021,Sep,18,MAHARASHTRA,1820,Dharashiv,717783,226.2648113,44,101,229.8147955,1182,59,17722,792907,59852,25315,3182,1364,57.88187,2081.766193,17933,32890,61835,174562,1928,246425,594580,18904,1794.069527,326836,73,58.59,77.92,99.67,NA
2020-2021,Sep,18,MAHARASHTRA,1825,YAVATMAL,1695883,224.4518232,32,236,484.0629274,9140,65,28687,1316906,116340,39714,211599,66799,250.48178,3690.364234,40546,63834,155460,397487,2266,464234,1072526,37827,2955.819527,533832,77,60.14,75.15,100,NA
2020-2021,Sep,18,MAHARASHTRA,1832,WASHIM,542854,226.2803627,30,76,237.2977198,1332,45,10380,315367,38953,22940,14855,7321,95.66718,1046.578491,10416,16133,69634,172640,727,198350,433980,11712,713.6135914,117072,70,45.27,86.3,99.98,NA
2020-2021,Sep,18,MAHARASHTRA,1834,HINGOLI,1070247,228.7207494,35,18,406.37279,1341,11,11235,744522,121805,41992,143927,39551,18.12717,2127.376258,21235,36179,66383,186091,1382,171900,440564,12576,1702.876298,303889,84,75.96,94.16,99.93,NA
2020-2021,Sep,18,MAHARASHTRA,1835,PALGHAR,1402634,228.0599676,32,339,138.1379812,8259,5,34418,1944324,6834,1612,1799988,317494,154.2452,4726.607866,60260,125103,98563,350625,2962,220230,612844,42677,4434.224684,981957,78,57.82,51.61,99.96,NA
2023-2024,July,18,MAHARASHTRA,1805,SINDHUDURG,149022,256.8713282,17,84,75.18094848,1148,18,20218,149022,5299,4124,464,338,6.49352,464.4692592,8615,14168,40746,93543,51,125493,238228,21366,382.7947907,60330,68,70.75,5.48,99.93,NA
2023-2024,July,18,MAHARASHTRA,1807,DHULE,546808,261.8434829,23,51,233.8442601,2233,20,27867,546808,35709,16420,121613,81058,21.39752,1687.022892,23703,39008,94192,262595,370,420271,899261,30100,1431.781112,216113,88,19.71,1,99.91,NA
2023-2024,July,18,MAHARASHTRA,1814,KOLHAPUR,156321,257.3125608,19,23,129.4585437,924,264,11133,156321,28037,19373,290,294,0.84256,532.5346718,8130,14253,44779,110435,24,342418,603735,12057,402.2335681,68253,92,37.65,0,100.24,NA
2023-2024,July,18,MAHARASHTRA,1821,LATUR,2099197,252.4557905,38,151,1098.328068,2046,24,26234,2099197,253873,56242,23565,3964,38.45567,6436.328118,54229,88997,114550,294189,3522,364713,790663,28280,5299.54438,861766,87,64.7,0.84,99.9,NA
2023-2024,July,18,MAHARASHTRA,1826,WARDHA,457636,260.3498379,30,110,369.6270465,1383,26,11269,457636,53622,16366,40267,13300,3.06556,1564.147191,14823,24110,49358,121638,438,202968,382874,12652,1191.454584,175242,87,66.39,0.19,104.17,NA
2023-2024,July,18,MAHARASHTRA,1827,NAGPUR,616542,244.8014876,25,186,363.444491,2492,85,16785,616542,82460,34092,77527,30554,17.10465,1889.853129,23977,34510,101708,235146,434,264861,518557,19277,1509.303988,257351,83,52.21,3.85,104.02,NA
2023-2024,July,18,MAHARASHTRA,1829,CHANDRAPUR,2361394,219.1649338,29,469,1401.614704,4921,25,31208,2361394,260135,66311,585090,108356,3.04445,6580.00675,79786,139903,174084,500886,1334,366227,896932,36129,5175.347597,1278709,80,27.89,17.58,101.77,NA
2023-2024,July,18,MAHARASHTRA,1830,GADCHIROLI,1327508,255.8217195,25,679,988.9562951,4826,23,12117,1327508,137611,41232,544414,170911,33.7077,4418.717787,53053,93569,135851,396287,671,225141,601079,16943,3396.053792,665476,83,27.52,26.38,100.01,NA
2023-2024,July,18,MAHARASHTRA,1835,PALGHAR,2060905,248.3730841,31,638,2113.009804,4139,30,38132,2060905,7281,1866,1924305,348238,73.46093,7305.204042,64668,124683,129005,389687,2495,289224,704281,42271,5118.733308,1183566,83,13.92,14.47,99.96,NA
2022-2023,Sep,18,MAHARASHTRA,1803,RAIGAD,185725,266.4737177,21,43,126.8596642,1441,184,11785,152422,7921,3210,36539,13589,35.195,568.2192342,7207,12365,26361,61819,102,160354,300553,13226,406.16457,67429,43,76.09,48.55,109.09,NA
2022-2023,Sep,18,MAHARASHTRA,1814,KOLHAPUR,280201,248.6757335,20,42,73.64114437,1873,139,10983,256741,46462,21097,825,273,43.7113,755.8050094,12650,22367,42530,104005,97,336350,596099,12856,638.452565,116007,92,73.81,24.85,100.9,NA
2022-2023,Sep,18,MAHARASHTRA,1817,PARBHANI,1297097,235.6199282,33,103,1754.564104,1060,71,26279,1587568,65472,19901,8767,2426,156.48169,5651.672376,47214,81581,97221,235874,2263,358143,741647,27339,3740.626582,614179,88,68.98,75.8,137.1,NA
2022-2023,Sep,18,MAHARASHTRA,1818,BEED,1205995,240.3825849,43,168,1298.19443,1118,124,41837,3719313,51450,11520,9629,1395,327.25024,10566.0254,85911,161323,134800,362212,7615,559528,1271597,42955,8940.58073,1531242,76,71.8,76.37,216.23,NA
2022-2023,Sep,18,MAHARASHTRA,1827,NAGPUR,1543819,235.2293236,32,402,1041.476616,6902,24,16537,1514023,213644,36229,187149,29537,202.50928,4805.411958,47045,70241,100943,234641,2137,254842,506650,23439,3561.426062,647490,86,36.24,44.46,103.17,NA
